layer,metric,mean_valid,std_valid,mean_hallucination,std_hallucination,cohens_d,p_value_raw,p_value_corrected,significant
8,Fiedler,0.5024685475454546,0.03229576878728859,0.516990698683274,0.0312503717972115,0.4512517024881518,9.937385733573408e-12,3.974954293429363e-11,True
9,Fiedler,0.5030744696818182,0.03224788072747943,0.5162431950177937,0.028791901067583812,0.4134233982740217,9.300983574664443e-11,2.70574067626602e-10,True
10,Fiedler,0.48910891639898985,0.027902230777149616,0.4969432041281139,0.029072110118313024,0.2791709015426899,2.100421400323328e-05,3.5375518321235e-05,True
11,Fiedler,0.45059099620707066,0.036403859157027395,0.4483803980782918,0.025505727752854795,-0.06271389429379912,0.8731931085760685,0.9013606282075546,False
12,Fiedler,0.36765945997979793,0.031437547709098665,0.34988682523131676,0.021451606723560685,-0.5848358413940486,9.769312524111771e-17,5.210300012859611e-16,True
13,Fiedler,0.45452756887373735,0.03562070584857444,0.4753222601779359,0.03579180701614248,0.5831738755416486,5.23808813609962e-19,3.352376407103757e-18,True
14,Fiedler,0.4354265658535354,0.031593751161754155,0.45154870953736653,0.038668251819022115,0.4949823190435728,9.796775559845022e-12,3.974954293429363e-11,True
15,Fiedler,0.4801652951666667,0.03391375657807528,0.4925713859430605,0.02989931509400612,0.3708195335518637,4.409686845412433e-09,1.0854613773322912e-08,True
16,Fiedler,0.5048629463333333,0.030815107650541743,0.5080660909608541,0.022785332584874942,0.10695742242297204,0.017814494383549158,0.022770251097341224,True
17,Fiedler,0.5806644622676769,0.03431260947396318,0.5875599292882563,0.025626105281030334,0.2066297229325609,0.0002454283683839535,0.00034146555601245705,True
18,Fiedler,0.6585689259141413,0.0261677842565448,0.6651791503558718,0.01976226298582138,0.259521492866751,1.9190786576256393e-05,3.41169539133447e-05,True
19,Fiedler,0.6578609216010102,0.021122739121469735,0.6553784722775802,0.018034188793052932,-0.11950310467559992,0.16359564736757715,0.18696645413437388,False
20,Fiedler,0.6571791352828283,0.013919321550906267,0.660922349430605,0.01475179829585235,0.26676879314433033,6.003196752784047e-06,1.171969260447046e-05,True
21,Fiedler,0.6697088076363638,0.020536114647225427,0.6724214464412812,0.0162237564830919,0.13522910848248076,0.018500829016589743,0.022770251097341224,True
22,Fiedler,0.6938157699242424,0.01883530465945384,0.6929182014946619,0.016560590826426455,-0.04831874293234999,0.5871197876078281,0.6262611067816833,False
23,Fiedler,0.7735674216919193,0.012366770841646961,0.7760676764412812,0.011048319636063836,0.20466939532380043,2.9513385085140706e-05,4.722141613622513e-05,True
24,Fiedler,0.756795104550505,0.011338982340272702,0.7553911996797155,0.012684515798056463,-0.12186819808292972,0.054093688772676694,0.0641110385453946,False
25,Fiedler,0.74973545360101,0.008511839884018041,0.7465785488256228,0.007700788952520489,-0.3749729238843531,3.50587406510654e-11,1.2465330009267698e-10,True
26,Fiedler,0.6392156853939394,0.01451536603064832,0.6383127979359431,0.012410801142707475,-0.06324059492025133,0.3363597333762387,0.3711555678634358,False
27,Fiedler,0.6846035881111112,0.018411245638212326,0.6841801311032027,0.014569322330016597,-0.023543104230629254,0.9156632100740649,0.9156632100740649,False
28,Fiedler,0.628754749838384,0.01768740086223464,0.6360020468327402,0.014491205182525937,0.41819462437565647,6.03054522339427e-11,1.9297744714861664e-10,True
29,Fiedler,0.6823659894848485,0.01347805178475882,0.689740120391459,0.012275110812735943,0.5527686331739102,5.212197321790007e-21,8.339515714864011e-20,True
30,Fiedler,0.5223518177878788,0.02226484315122023,0.5315635040213523,0.016061004654845466,0.42645510486606614,1.568503156606934e-10,4.182675084285157e-10,True
31,Fiedler,0.46105322560101003,0.020147940554206167,0.4726662890035587,0.012485816792431485,0.599539663098141,7.719755141739672e-20,6.1758041133917375e-19,True
0,Smoothness,0.8032690010709294,0.0146808872533561,0.7894240164424586,0.01458004723183857,-0.9434476157596918,3.573800631520989e-44,1.1436162020867165e-42,True
1,Smoothness,0.9998479492416927,0.008281441485976874,1.0064973251800249,0.006591230519076361,0.8214989982505185,1.9444040056166935e-35,3.1110464089867096e-34,True
2,Smoothness,1.0053533942764163,0.009112902006447444,1.0122475045568189,0.0076908456657861415,0.7700822595830179,1.749334797377172e-30,1.1195742703213901e-29,True
3,Smoothness,1.0059491846321842,0.009651820543305609,1.0132068824854739,0.008364339702299257,0.763525003028902,1.8018505137695622e-29,9.609869406770999e-29,True
4,Smoothness,1.0035816360294227,0.009126182507036966,1.0101477683138367,0.007478970224594993,0.7343060824486118,8.472546831933323e-29,3.873164266026662e-28,True
5,Smoothness,0.9982580762327157,0.008236966652240375,1.003987846672456,0.00679060377903626,0.7095779194628531,1.8920894442878125e-26,5.0455718514341666e-26,True
6,Smoothness,0.9926689445001919,0.008096880496943222,0.9988201651193029,0.006435559312195784,0.7773640139189094,7.845288139939171e-33,8.368307349268449e-32,True
7,Smoothness,0.9847402117804616,0.007599353918137266,0.9902671803198421,0.005459868879007941,0.749866361202172,1.1698925013573704e-32,9.359140010858963e-32,True
8,Smoothness,0.9894496295083107,0.007850775700096875,0.994767361430325,0.006309642086528625,0.6924585436016127,9.453493929611752e-27,2.7501073249779646e-26,True
9,Smoothness,0.9857874526623458,0.007846644621687384,0.9911614934561548,0.0060689066050014055,0.7023412460728626,2.3229781398570116e-28,9.291912559428046e-28,True
10,Smoothness,0.9914407017954008,0.008613567193490464,0.9966640633859641,0.006543335745664042,0.6227294443785278,2.5472060922083306e-22,5.434039663377772e-22,True
11,Smoothness,0.9851580164879232,0.00813963076948787,0.990591367442883,0.006104746289251104,0.6861370145769414,2.466491841857342e-27,8.769748771048327e-27,True
12,Smoothness,0.9878908228536449,0.009013026913353872,0.9941032654518777,0.007024294246682061,0.7064190863904665,2.7410140497225547e-27,8.771244959112175e-27,True
13,Smoothness,0.9951609865545971,0.009618107339527471,1.000282707327361,0.008571616589607612,0.5392119906245774,7.370488330858546e-16,1.4740976661717092e-15,True
14,Smoothness,0.9955838633012869,0.010579813718921876,1.0009018808172083,0.009688724061297298,0.5075495276564047,1.7715139161174532e-14,3.149358073097695e-14,True
15,Smoothness,1.007825910226941,0.01179919522681993,1.0155079518202983,0.010984313528347884,0.6562376818296258,7.388054488891443e-24,1.8185980280348166e-23,True
16,Smoothness,1.0151699387289477,0.014359131434253889,1.0223225489065018,0.015191899153468844,0.4942501452050231,1.889681115124059e-13,3.0234897841984943e-13,True
17,Smoothness,1.01831727163323,0.018444790938416958,1.0280937106291774,0.019518502082586153,0.5259024520257816,1.7376997205510293e-15,3.270964179860761e-15,True
18,Smoothness,1.0295868796473973,0.023655033667230395,1.0413872198525667,0.0259694681024773,0.4923897191982556,3.8764959599160426e-13,5.907041462729208e-13,True
19,Smoothness,1.0200195852304672,0.020954782295508623,1.0286399342404808,0.02262580867440639,0.40702326930974914,2.904897298643867e-09,3.873196398191823e-09,True
20,Smoothness,1.0225642985281427,0.023180464384525326,1.0332450956867674,0.025268181504643272,0.4552687264244238,2.4009649209364386e-11,3.492312612271183e-11,True
21,Smoothness,1.011450900493884,0.025470847465129974,1.022059584544545,0.02763867335266344,0.41180226150978777,2.6995915345936183e-09,3.755953439434599e-09,True
22,Smoothness,1.007140266430813,0.02675708395972646,1.0154089481436583,0.028921022421982003,0.3057106289774582,1.921182019979259e-05,2.3645317168975496e-05,True
23,Smoothness,0.9985883180482068,0.02897051733815503,1.00608711765942,0.03126526245817242,0.2561200441118704,0.00045595922321847726,0.000503127418723837,True
24,Smoothness,0.9826453074670216,0.02667830756278307,0.9849439673075887,0.02781061136612421,0.08566379794141755,0.3841483821883209,0.3965402654847184,False
25,Smoothness,0.9761012491127683,0.026073728992175197,0.9778548874092414,0.027133516763626606,0.0668833068088571,0.5922733557040648,0.5922733557040648,False
26,Smoothness,0.942653343987159,0.024982992565369837,0.9414709153181468,0.023249409688729662,-0.04770722415643997,0.177543408807169,0.18937963606098027,False
27,Smoothness,0.9276609752396585,0.02391431739309961,0.922947585236136,0.020779773936532603,-0.20007690858530366,5.1377317705984804e-05,6.08916357996857e-05,True
28,Smoothness,0.9055554471319102,0.02462523214727293,0.8980524586014162,0.019799686268671873,-0.3114714517379163,5.142662699470738e-08,6.582608255322545e-08,True
29,Smoothness,0.8925450645059761,0.027041597997548836,0.8870110046527127,0.021846127117987255,-0.20912289169043446,9.22485179690031e-05,0.00010542687767886069,True
30,Smoothness,0.852465588335734,0.02518443425562038,0.837578978578197,0.017448762884713545,-0.6109112190781111,1.9865057649987731e-22,4.5405846057114815e-22,True
31,Smoothness,0.7294517102597103,0.0061191155030628315,0.7265580305508343,0.0048545070473957445,-0.4839598894636805,3.833737790431336e-14,6.456821541779092e-14,True
0,Entropy,2.407596289027821,0.12055060267084239,2.2941051403398616,0.12488354037308796,-0.9367732815644311,4.824908783393593e-43,1.5439708106859497e-41,True
1,Entropy,0.7935861806977879,0.12473302605552827,0.842003157342456,0.11576953107424853,0.3913775830678412,1.3977726118333538e-10,2.48492908770374e-10,True
2,Entropy,1.0323668326994386,0.13578508224496733,1.1208360545151599,0.1331968901914545,0.6527838233604418,1.4626588788646805e-22,4.680508412366978e-22,True
3,Entropy,0.888772871608686,0.1242584667481221,0.9352141020561028,0.10984357237508866,0.3787611441635078,9.296290608053383e-10,1.4874064972885413e-09,True
4,Entropy,1.2576585251574564,0.16241317860433002,1.2027497832461185,0.13713694042956937,-0.34412482238664505,1.8383661868888292e-07,2.673987180929206e-07,True
5,Entropy,1.6587271451950074,0.15844929964334223,1.6581608561858587,0.14202469445284555,-0.003616816440455473,0.7136874070698513,0.7136874070698513,False
6,Entropy,1.710633807952958,0.1688843781926343,1.7009669300500183,0.16656014740688008,-0.05731173373845147,0.3930668577351014,0.40574643379107245,False
7,Entropy,2.009108860023094,0.16894829543483392,2.0362181540485804,0.16693456432683773,0.1606248270688399,0.012114424690051365,0.014357836669690507,True
8,Entropy,1.9473829936499547,0.144547859785306,1.9517975294717267,0.15740242669647225,0.030180389642635218,0.38810869089230127,0.40574643379107245,False
9,Entropy,2.1474065570518226,0.15505457322335733,2.1882222114508685,0.15617819020598098,0.26288016766492917,7.493662564572135e-06,9.99155008609618e-06,True
10,Entropy,1.9839570491602927,0.14980338347198535,2.001543296613727,0.15807772328201233,0.11652448538453326,0.03550229027522189,0.04057404602882502,True
11,Entropy,2.102096524684116,0.16421179624297,2.0878715557559953,0.16768091318979156,-0.08635859124312768,0.30334049531601304,0.3347205465556006,False
12,Entropy,2.0502674432715984,0.14713468331084373,1.999088851158305,0.14215010022060134,-0.34912918583902214,1.2557038767800461e-08,1.913453526521975e-08,True
13,Entropy,2.160396837887138,0.14837595133142656,2.1889019025178142,0.1591521638388843,0.1902573607835875,0.0013846150247039581,0.00170414156886641,True
14,Entropy,1.9492254318010926,0.14847489198787858,1.9104249982222967,0.1539140304762619,-0.2600082810501122,3.5328969598120635e-05,4.5221081085594415e-05,True
